Entity;Africa;Asia;Europe;North America;Oceania;South America
Afghanistan;;163.6342966;;;;
Albania;;;170.0354863;;;
Algeria;168.6819236;;;;;
American Samoa;;;;;172.8501387;
Andorra;;;170.2362281;;;
Angola;166.9708077;;;;;
Antigua and Barbuda;;;;168.9425414;;
Argentina;;;;;;169.5521381
Armenia;;168.8815648;;;;
Australia;;;;;174.8654944;
Austria;;;174.4242916;;;
Azerbaijan;;168.916078;;;;
Bahamas;;;;168.9688734;;
Bahrain;;164.676165;;;;
Bangladesh;;162.1496248;;;;
Barbados;;;;172.0637474;;
Belarus;;;173.567679;;;
Belgium;;;174.1990461;;;
Belize;;;;165.3491063;;
Benin;167.6256637;;;;;
Bermuda;;;;168.9460647;;
Bhutan;;162.8755686;;;;
Bolivia;;;;;;162.7631865
Bosnia and Herzegovina;;;176.0082659;;;
Botswana;170.2167204;;;;;
Brazil;;;;;;168.4169678
Brunei;;161.2120428;;;;
Bulgaria;;;173.453463;;;
Burkina Faso;168.2806242;;;;;
Burundi;166.2538824;;;;;
Cambodia;;160.1482682;;;;
Cameroon;168.3523237;;;;;
Canada;;;;174.6494844;;
Cape Verde;170.1448985;;;;;
Central African Republic;166.2205197;;;;;
Chad;169.8564584;;;;;
Chile;;;;;;166.9535149
China;;166.7306913;;;;
Colombia;;;;;;164.7974942
Comoros;164.1834622;;;;;
Congo;167.1434238;;;;;
Cook Islands;;;;;172.8065077;
Costa Rica;;;;165.6704447;;
Cote d'Ivoire;167.2175125;;;;;
Croatia;;;174.9806594;;;
Cuba;;;;167.6381313;;
Cyprus;;;169.498437;;;
Czechia;;;175.07666;;;
Democratic Republic of Congo;166.7390195;;;;;
Denmark;;;176.6584994;;;
Djibouti;166.1975402;;;;;
Dominica;;;;171.7765039;;
Dominican Republic;;;;167.3979782;;
East Asia and Pacific;;;168.0108276;;;
Ecuador;;;;;;162.1625466
Egypt;166.6031673;;;;;
El Salvador;;;;165.6608759;;
Equatorial Guinea;166.9815051;;;;;
Eritrea;167.8107268;;;;;
Estonia;;;176.718096;;;
Eswatini;167.4048518;;;;;
Ethiopia;166.1718884;;;;;
Fiji;;;;;172.199343;
Finland;;;175.1353004;;;
France;;;173.2717313;;;
French Polynesia;;;;;173.3970807;
Gabon;167.6115159;;;;;
Gambia;165.291136;;;;;
Georgia;;171.6701793;;;;
Germany;;;174.7740341;;;
Ghana;167.0905519;;;;;
Greece;;;171.0212033;;;
Greenland;;;;166.9795806;;
Grenada;;;;172.1147302;;
Guatemala;;;;160.8889792;;
Guinea;168.011135;;;;;
Guinea-Bissau;167.6096453;;;;;
Guyana;;;;;;166.9211935
Haiti;;;;168.891817;;
Honduras;;;;164.9514343;;
Hong Kong;;166.0952206;;;;
Hungary;;;172.9479048;;;
Iceland;;;178.1460966;;;
India;;163.4406691;;;;
Indonesia;;159.9659933;;;;
Iran;;167.1445914;;;;
Iraq;;167.119036;;;;
Ireland;;;173.5220629;;;
Israel;;170.8724839;;;;
Italy;;;171.2436615;;;
Jamaica;;;;170.6989258;;
Japan;;165.7521239;;;;
Jordan;;167.5032092;;;;
Kazakhstan;;168.2788026;;;;
Kenya;169.9918742;;;;;
Kiribati;;;;;168.2661958;
Kuwait;;168.3535636;;;;
Kyrgyzstan;;167.1925647;;;;
Laos;;158.0608066;;;;
Latin America and Caribbean;;;;;;168.0108276
Latvia;;;175.3445367;;;
Lebanon;;169.3857889;;;;
Lesotho;165.2281054;;;;;
Liberia;162.8834909;;;;;
Libya;169.4206354;;;;;
Lithuania;;;174.5727815;;;
Luxembourg;;;174.1303932;;;
Madagascar;163.1585729;;;;;
Malawi;163.4554685;;;;;
Malaysia;;163.7159796;;;;
Maldives;;161.1871648;;;;
Mali;170.0342647;;;;;
Malta;;;167.4285602;;;
Marshall Islands;;;;;164.6336267;
Mauritania;166.140505;;;;;
Mauritius;166.170005;;;;;
Mexico;;;;164.1758271;;
Micronesia (country);;;;;167.4582361;
Middle East and North Africa;;;168.0108276;;;
Moldova;;;170.3093758;;;
Mongolia;;165.2854257;;;;
Montenegro;;;173.4696002;;;
Morocco;167.0658877;;;;;
Mozambique;163.931754;;;;;
Myanmar;;162.1343795;;;;
Namibia;168.1464238;;;;;
Nauru;;;;;167.0536904;
Nepal;;160.3040501;;;;
Netherlands;;;177.7963258;;;
New Zealand;;;;;174.0744909;
Nicaragua;;;;164.2666887;;
Niger;168.7374974;;;;;
Nigeria;165.6134515;;;;;
Niue;;;;;172.2622522;
North America;;;;;168.0108276;
North Korea;;166.2627835;;;;
North Macedonia;;;173.5137575;;;
Norway;;;177.05077;;;
Oman;;163.8890605;;;;
Pakistan;;166.7489272;;;;
Palau;;;;;166.8023786;
Palestine;;168.6844921;;;;
Panama;;;;164.6650256;;
Papua New Guinea;;;;;162.1114757;
Paraguay;;;;;;168.3486023
Peru;;;;;;161.3674306
Philippines;;160.0662521;;;;
Poland;;;171.7494308;;;
Portugal;;;166.7626727;;;
Puerto Rico;;;;168.3364498;;
Qatar;;167.1862329;;;;
Romania;;;170.8944808;;;
Russia;;;172.2705148;;;
Rwanda;164.6363827;;;;;
Saint Kitts and Nevis;;;;167.3781283;;
Saint Lucia;;;;169.2881852;;
Samoa;;;;;171.2104772;
Sao Tome and Principe;167.2206635;;;;;
Saudi Arabia;;165.280705;;;;
