;Year;Mean male height (cm)
102;1896;163.3251405
103;1897;163.4664286
104;1898;163.6081043
105;1899;163.7499
106;1900;163.8918524
107;1901;164.0341812
108;1902;164.1765785
109;1903;164.3191517
110;1904;164.4619655
111;1905;164.604732
112;1906;164.7471545
113;1907;164.889747
114;1908;165.0328649
115;1909;165.175903
116;1910;165.3195701
117;1911;165.4652524
118;1912;165.6130697
119;1913;165.762062
120;1914;165.9119581
121;1915;166.0628185
122;1916;166.2141824
123;1917;166.3654336
124;1918;166.5162231
125;1919;166.6650012
126;1920;166.8105446
127;1921;166.9518565
128;1922;167.0882407
129;1923;167.2198433
130;1924;167.3479803
131;1925;167.4752804
132;1926;167.6036546
133;1927;167.7356023
134;1928;167.8714713
135;1929;168.0114638
136;1930;168.1551437
137;1931;168.3012698
138;1932;168.4486779
139;1933;168.5975891
140;1934;168.7477664
141;1935;168.8986963
142;1936;169.0499284
143;1937;169.200771
144;1938;169.3504527
145;1939;169.4994214
146;1940;169.6483128
147;1941;169.7977261
148;1942;169.9493324
149;1943;170.1045284
150;1944;170.2628933
151;1945;170.4244876
152;1946;170.5896339
153;1947;170.7572009
154;1948;170.9270706
155;1949;171.0979507
156;1950;171.2685404
157;1951;171.4377637
158;1952;171.6041685
159;1953;171.7668696
160;1954;171.9261965
161;1955;172.0827375
162;1956;172.2357464
163;1957;172.3862695
164;1958;172.5346774
165;1959;172.6800257
166;1960;172.8223915
167;1961;172.9608808
168;1962;173.0940685
169;1963;173.2191786
170;1964;173.3346446
171;1965;173.4406076
172;1966;173.5378249
173;1967;173.627109
174;1968;173.7082846
175;1969;173.7825754
176;1970;173.850303
177;1971;173.9113278
178;1972;173.9650673
179;1973;174.0117739
180;1974;174.0505541
181;1975;174.0815889
182;1976;174.1041677
183;1977;174.1168945
184;1978;174.1199161
185;1979;174.1136579
186;1980;174.1004181
187;1981;174.082172
188;1982;174.0590177
189;1983;174.0313185
190;1984;173.9999356
191;1985;173.9630378
192;1986;173.9211807
193;1987;173.8748376
194;1988;173.8245812
195;1989;173.7719013
196;1990;173.7178605
197;1991;173.6634553
198;1992;173.6087279
199;1993;173.5541174
200;1994;173.4989242
201;1995;173.4438953
202;1996;173.3888563
203;2015;
