Entity;Code;Year;Change in male height (%);Change in female height (%);Continent
Abkhazia;OWID_ABK;2015;;;Asia
Afghanistan;AFG;1996;2.5388815;3.94642075;
Afghanistan;AFG;2015;;;Asia
Akrotiri and Dhekelia;OWID_AKD;2015;;;Asia
Albania;ALB;1996;6.161767729;7.705741384;
Albania;ALB;2015;;;Europe
Algeria;DZA;1996;6.03768192;4.758188195;
Algeria;DZA;2015;;;Africa
American Samoa;ASM;1996;3.729419757;3.997527168;
American Samoa;ASM;2015;;;Oceania
Andorra;AND;1996;7.756080189;6.865742611;
Andorra;AND;2015;;;Europe
Angola;AGO;1996;3.169231747;3.082293073;
Angola;AGO;2015;;;Africa
Anguilla;AIA;2015;;;North America
Antarctica;ATA;2015;;;Antarctica
Antigua and Barbuda;ATG;1996;6.799158327;6.670753748;
Antigua and Barbuda;ATG;2015;;;North America
Argentina;ARG;1996;7.563547809;5.703524838;
Argentina;ARG;2015;;;South America
Armenia;ARM;1996;6.267713884;5.652342153;
Armenia;ARM;2015;;;Asia
Aruba;ABW;2015;;;North America
Australia;AUS;1996;6.071333588;6.666634369;
Australia;AUS;2015;;;Oceania
Austria;AUT;1996;5.583538531;4.486134865;
Austria;AUT;2015;;;Europe
Austria-Hungary;OWID_AUH;2015;;;Europe
Azerbaijan;AZE;1996;4.997569074;5.548591241;
Azerbaijan;AZE;2015;;;Asia
Baden;OWID_BAD;2015;;;Europe
Bahamas;BHS;1996;6.813063408;6.720763318;
Bahamas;BHS;2015;;;North America
Bahrain;BHR;1996;7.039579887;4.697910304;
Bahrain;BHR;2015;;;Asia
Bangladesh;BGD;1996;3.295071358;6.577948007;
Bangladesh;BGD;2015;;;Asia
Barbados;BRB;1996;6.712062355;8.692239462;
Barbados;BRB;2015;;;North America
Bavaria;OWID_BAV;2015;;;Europe
Belarus;BLR;1996;6.382938941;8.039945678;
Belarus;BLR;2015;;;Europe
Belgium;BEL;1996;8.671206751;6.478879785;
Belgium;BEL;2015;;;Europe
Belize;BLZ;1996;6.7032663;7.316420377;
Belize;BLZ;2015;;;North America
Benin;BEN;1996;2.795829113;1.955711536;
Benin;BEN;2015;;;Africa
Bermuda;BMU;1996;6.763113416;6.755970258;
Bermuda;BMU;2015;;;North America
Bhutan;BTN;1996;2.504867163;4.530942747;
Bhutan;BTN;2015;;;Asia
Bolivia;BOL;1996;6.735351769;7.467855104;
Bolivia;BOL;2015;;;South America
Bonaire Sint Eustatius and Saba;BES;2015;;;North America
Bosnia and Herzegovina;BIH;1996;7.389369557;7.80250508;
Bosnia and Herzegovina;BIH;2015;;;Europe
