Code;Calories from animal protein (FAO (2017));Mean male height (cm)
AFG;64.04;165.2558607
ALB;169.2;173.3888563
DZA;64.36;170.0718002
ASM;;176.0451207
AND;;176.0601667
AGO;40.52;167.3107273
ATG;203.64;172.7069903
ARG;257.2;174.6157252
ARM;68.48;171.9966462
AUS;275.76;179.2046477
AUT;261.84;177.4077047
AZE;61.04;169.7494329
BHS;183.8;172.7466298
BHR;;167.7434113
BGD;23.04;163.8082283
BRB;191.68;175.9161243
BLR;207.6;178.4384054
BEL;252;181.698803
BLZ;102.08;168.7317804
BEN;30.52;167.0572709
BMU;224.76;172.6878702
BTN;;165.3058846
BOL;89.32;166.8462997
BIH;82.96;180.8691741
BWA;106.72;171.6276505
BRA;155.56;173.5512114
BRN;205.48;165.0090651
BGR;155.32;178.2402511
BFA;39.4;169.3288328
BDI;;166.6352493
;89.12;
KHM;34.68;163.3296025
CMR;43.12;167.8231913
CAN;225.44;178.0903724
CPV;;173.2239364
CAF;67.16;166.6738233
TCD;47.96;170.4385774
CHL;152.52;171.8112817
CHN;92.88;171.8276872
COL;118.56;169.4950788
COM;;166.1943222
COG;62.12;167.4476256
COK;;174.7678264
CRI;134.88;168.9318804
CIV;51.2;166.5328825
HRV;110.04;180.7818566
CUB;85.64;171.9961297
CYP;201.72;174.9948378
CZE;219.16;180.1037446
COD;;166.7952777
DNK;277.32;181.3850802
DJI;46.64;166.5732512
DMA;199.2;176.3131916
DOM;90.8;172.7469432
;;169.2129
ECU;112.04;167.076619
EGY;61.08;166.6840579
SLV;65.32;169.7711093
GNQ;;167.3621474
ERI;;168.3564492
EST;209.72;181.5934781
SWZ;58.56;168.1315991
ETH;21;166.2315083
;;177.2165
FJI;110.16;173.9016453
FIN;257.2;179.5909033
FRA;305.6;179.7379129
PYF;237.16;177.4094044
GAB;156.72;167.9359895
GMB;52.4;165.401738
GEO;90.6;174.3410018
DEU;227.68;179.8811774
GHA;61.28;168.8493553
GRC;240.48;177.3160349
GRL;;174.8661197
GRD;156.12;176.9666751
GTM;53.32;163.4083889
GIN;27.24;167.5446232
GNB;35.88;167.8983809
GUY;132.76;170.2102541
HTI;26.8;172.6377544
HND;86.68;166.3933792
HKG;277.88;173.6138509
HUN;185;177.264876
ISL;297.48;180.49156
IND;38.28;164.9458981
IDN;50.52;163.5516538
IRN;77.04;173.5713082
IRQ;21.4;170.4300961
IRL;263.4;178.9251638
ISR;238.64;176.859217
ITA;239.2;177.7676279
JAM;139.84;174.5282957
JPN;221.64;170.8176462
JOR;77.76;171.0322072
KAZ;147.84;171.1440372
KEN;58.68;169.6400915
KIR;137.72;169.2042839
KWT;214.44;172.0676564
KGZ;132;171.239191
LAO;33.4;160.5189936
;;171.1056
LVA;187.8;181.4223721
LBN;113.36;174.3885685
LSO;33.6;165.5897658
LBR;25.32;163.6602657
LBY;;173.5284006
LTU;193.08;179.028358
LUX;;177.8626466
MDG;55.08;161.5474932
MWI;19.4;162.2277323
MYS;172.6;167.8849165
MDV;216;167.6836237
MLI;65.8;171.1194632
MLT;224.4;173.3197324
MHL;;162.8089916
MRT;113.4;163.2810601
MUS;112.48;170.4992686
MEX;123;169.0114702
FSM;;168.510704
;;170.5135
MDA;101.52;175.489202
MNG;198.48;169.0656778
MNE;;178.2755341
MAR;55;170.4001635
MOZ;21.32;164.7975642
MMR;29.4;164.6726735
NAM;60.4;166.9643668
NRU;;167.8324823
NPL;34.88;162.3183332
NLD;298.52;182.5353792
ANT;215.64;
NCL;207.4;
NZL;231.52;177.7363938
NIC;43.08;166.7062391
NER;60.04;167.6760035
NGA;28.08;165.9067896
NIU;;175.8311176
;;175.9695
PRK;31.72;171.9927751
MKD;102.04;178.330803
NOR;263.36;179.7451045
OMN;134.2;169.1575236
PAK;88.32;166.9481799
PLW;;167.692075
PSE;;172.0872385
PAN;134.52;168.4895764
PNG;;163.5678363
PRY;166.28;172.834287
PER;88.48;165.2324719
PHL;80.92;163.2291559
POL;196.48;177.3269817
PRT;248.92;172.9328818
PRI;;172.0847257
QAT;;170.476481
ROU;164.6;174.740883
RUS;163.36;176.4605305
RWA;15.84;162.6789315
KNA;179.52;169.6233446
LCA;205.88;171.9453164
VCT;135.36;172.7790021
WSM;174.84;174.3770605
STP;59.76;167.3845214
SAU;121.32;167.6703062
SEN;68.24;173.1387425
SRB;;180.5674062
OWID_SRM;201.16;
SYC;;174.2155275
SLE;28.76;164.4056705
SGP;;172.5660422
SVK;151.44;179.5012393
SVN;232.16;179.8026954
SLB;81.32;164.1434391
SOM;;166.6032003
ZAF;95.72;166.6780993
;;165.2444
KOR;138.28;174.9196246
ESP;270.28;176.5938671
LKA;50.48;165.6894656
;;167.3044
SDN;;166.6314888
;96.44;
SUR;100.16;172.7216773
SWE;255.92;179.7370423
CHE;238;178.42409
SYR;;170.4283087
TWN;176.44;174.5214084
TJK;31.44;171.2644735
TZA;37.72;164.8003909
THA;102.6;169.1624398
TLS;56.96;159.7905503
TGO;35.44;168.3303395
TKL;;175.2555343
TON;;176.757346
TTO;94;173.7350948
TUN;78.64;173.9514542
TUR;108.68;174.2095618
TKM;99.88;171.9696756
TUV;;169.6401783
UGA;35.12;165.6249322
UKR;144.84;178.457049
ARE;235.84;170.4554301
GBR;216.48;177.4901885
USA;283.2;177.1303957
URY;219.52;173.432458
UZB;102.6;169.3845113
VUT;107.28;168.0931899
VEN;114.76;171.5942721
VNM;48.84;164.4455519
OWID_WRL;;171.2803524
YEM;34.64;159.8869411
ZMB;38.12;166.5171435
ZWE;32;168.5860045
OWID_ABK;;
AFG;54.12;164.7971321
AFG;53.92;164.8498304
AFG;56.8;164.8991445
AFG;57.32;164.9436129
AFG;59.76;164.9831305
AFG;64.44;165.0189045
AFG;67.08;165.051753
AFG;69.88;165.0826591
AFG;68.76;165.1135003
AFG;61.16;165.1439626
AFG;57.24;165.1741494
AFG;52.84;165.2040674
AFG;55.84;165.2338289
AFG;56.56;165.2631103
AFG;57.04;165.2911729
AFG;60.12;165.3169361
AFG;58;165.3389782
AFG;58.4;165.3567716
AFG;58.6;165.3707432
AFG;60.36;165.3812914
AFG;63.36;165.3896357
AFG;65.16;165.3959387
AFG;67.08;165.3993526
AFG;66.4;165.3999634
AFG;59.76;165.3971222
AFG;51.4;165.3909148
AFG;56.2;165.3812397
AFG;58.64;165.3687054
AFG;59.84;165.3550563
AFG;67.8;165.340645
AFG;64.96;165.3261648
AFG;59.76;165.3120761
AFG;58.44;165.2981032
AFG;60.04;165.2841484
AFG;60.64;165.2701323
AFG;67.88;
AFG;70.84;
AFG;72.56;
AFG;59.2;
AFG;44.28;
AFG;57.04;
AFG;52.88;
AFG;53.4;
AFG;52.08;
AFG;45.12;
AFG;45.84;
AFG;47.2;
AFG;46.72;
AFG;48.44;
AFG;48.72;
AFG;49.04;
AFG;48.88;
AFG;;161.1640953
AFG;;161.196286
AFG;;161.2282966
AFG;;161.2607274
AFG;;161.2930682
AFG;;161.325492
AFG;;161.3583553
AFG;;161.3912147
AFG;;161.4239893
AFG;;161.4567642
AFG;;161.4894043
AFG;;161.5229355
AFG;;161.5572929
AFG;;161.5924115
AFG;;161.6288848
AFG;;161.6678293
AFG;;161.7097565
AFG;;161.7544944
AFG;;161.8015948
AFG;;161.8512242
AFG;;161.9029869
AFG;;161.9569878
AFG;;162.0126184
AFG;;162.0692287
AFG;;162.1259389
AFG;;162.1826578
AFG;;162.2384477
AFG;;162.2938166
AFG;;162.3493607
AFG;;162.4063756
AFG;;162.4658093
AFG;;162.5287465
AFG;;162.5953253
AFG;;162.6649787
AFG;;162.7363663
AFG;;162.8085523
AFG;;162.8802754
AFG;;162.9518219
AFG;;163.0234031
AFG;;163.0949112
AFG;;163.16596
AFG;;163.2362977
AFG;;163.305397
AFG;;163.3729943
AFG;;163.4389961
AFG;;163.5041548
AFG;;163.5700656
AFG;;163.6382848
AFG;;163.7087534
AFG;;163.7810528
AFG;;163.855399
AFG;;163.9310933
AFG;;164.0073807
AFG;;164.0832287
AFG;;164.1575871
AFG;;164.2290702
AFG;;164.2967149
AFG;;164.3606172
AFG;;164.4204793
AFG;;164.476951
AFG;;164.5306042
AFG;;164.5831243
AFG;;164.6357244
AFG;;164.6887788
AFG;;164.7427774
AFG;;
OWID_AKD;;
ALB;75.48;172.9608808
ALB;74.24;173.0940685
ALB;72.6;173.2191786
ALB;70.72;173.3346446
ALB;71.84;173.4406076
ALB;72.16;173.5378249
ALB;77.56;173.627109
ALB;73.24;173.7082846
ALB;73.08;173.7825754
ALB;74.24;173.850303
ALB;77.32;173.9113278
ALB;74.36;173.9650673
ALB;77.04;174.0117739
ALB;77.76;174.0505541
ALB;77.08;174.0815889
ALB;78.88;174.1041677
ALB;79.56;174.1168945
ALB;84.56;174.1199161
ALB;85.6;174.1136579
ALB;85.64;174.1004181
ALB;87.92;174.082172
ALB;88.56;174.0590177
ALB;89.16;174.0313185
ALB;85.56;173.9999356
ALB;83.56;173.9630378
ALB;78.96;173.9211807
ALB;81.16;173.8748376
ALB;86.24;173.8245812
ALB;87.84;173.7719013
ALB;95.64;173.7178605
ALB;106.72;173.6634553
ALB;112.2;173.6087279
ALB;119;173.5541174
ALB;141.08;173.4989242
ALB;158;173.4438953
ALB;145.44;
ALB;143.12;
ALB;156.28;
ALB;155.56;
