Code;Year-on-year change in female height (%);Year-on-year change in male height (%);Year
AFG;0.08962;0.01997;1897
AFG;0.08977;0.01986;1898
AFG;0.08966;0.02011;1899
AFG;0.08963;0.02005;1900
AFG;0.08949;0.0201;1901
AFG;0.08899;0.02037;1902
AFG;0.08848;0.02036;1903
AFG;0.0876;0.02031;1904
AFG;0.08696;0.0203;1905
AFG;0.08636;0.02022;1906
AFG;0.08574;0.02076;1907
AFG;0.08522;0.02127;1908
AFG;0.08476;0.02174;1909
AFG;0.08496;0.02257;1910
AFG;0.08535;0.0241;1911
AFG;0.08575;0.02593;1912
AFG;0.08632;0.02767;1913
AFG;0.08669;0.02912;1914
AFG;0.08714;0.03067;1915
AFG;0.08756;0.03198;1916
AFG;0.08799;0.03335;1917
AFG;0.08814;0.03435;1918
AFG;0.08769;0.03494;1919
AFG;0.08749;0.03499;1920
AFG;0.08676;0.03498;1921
AFG;0.08595;0.0344;1922
AFG;0.08465;0.03413;1923
AFG;0.08368;0.03422;1924
AFG;0.08393;0.03512;1925
AFG;0.08442;0.0366;1926
AFG;0.08479;0.03874;1927
AFG;0.085;0.04096;1928
AFG;0.08531;0.04284;1929
AFG;0.08524;0.04389;1930
AFG;0.08417;0.04436;1931
AFG;0.08303;0.04405;1932
AFG;0.08225;0.04393;1933
AFG;0.08175;0.04393;1934
AFG;0.08112;0.04386;1935
AFG;0.08072;0.04356;1936
AFG;0.07996;0.04311;1937
AFG;0.0785;0.04233;1938
AFG;0.0766;0.04139;1939
AFG;0.07379;0.0404;1940
AFG;0.07096;0.03987;1941
AFG;0.06817;0.04031;1942
AFG;0.06632;0.04171;1943
AFG;0.06437;0.04306;1944
AFG;0.06252;0.04416;1945
AFG;0.06086;0.04539;1946
AFG;0.05874;0.0462;1947
AFG;0.05658;0.04654;1948
AFG;0.05435;0.04625;1949
AFG;0.05237;0.04532;1950
AFG;0.05013;0.04355;1951
AFG;0.04685;0.04119;1952
AFG;0.04387;0.03889;1953
AFG;0.04055;0.03642;1954
AFG;0.0373;0.03435;1955
AFG;0.03398;0.03262;1956
AFG;0.03097;0.03192;1957
AFG;0.02838;0.03196;1958
AFG;0.02595;0.03223;1959
AFG;0.02351;0.03279;1960
AFG;0.02085;0.03299;1961
AFG;0.01791;0.03198;1962
AFG;0.01378;0.02991;1963
AFG;0.00879;0.02697;1964
AFG;0.00331;0.02396;1965
AFG;-0.0017;0.02168;1966
AFG;-0.0064;0.01991;1967
AFG;-0.01083;0.01873;1968
AFG;-0.01514;0.01868;1969
AFG;-0.01924;0.01845;1970
AFG;-0.02302;0.01828;1971
AFG;-0.02607;0.01811;1972
AFG;-0.02868;0.01801;1973
AFG;-0.03045;0.01772;1974
AFG;-0.03247;0.01698;1975
AFG;-0.0344;0.01559;1976
AFG;-0.03616;0.01333;1977
AFG;-0.03764;0.01076;1978
AFG;-0.03834;0.00845;1979
AFG;-0.03794;0.00638;1980
AFG;-0.03694;0.00505;1981
AFG;-0.03548;0.00381;1982
AFG;-0.03375;0.00206;1983
AFG;-0.03264;0.00037;1984
AFG;-0.03203;-0.00172;1985
AFG;-0.03174;-0.00375;1986
AFG;-0.03218;-0.00585;1987
AFG;-0.03309;-0.00758;1988
AFG;-0.03352;-0.00825;1989
AFG;-0.0342;-0.00872;1990
AFG;-0.034;-0.00876;1991
AFG;-0.03395;-0.00852;1992
AFG;-0.03374;-0.00845;1993
AFG;-0.03408;-0.00844;1994
AFG;-0.03403;-0.00848;1995
AFG;-0.03392;-0.00864;1996
ALB;0.14483;0.08651;1897
ALB;0.14478;0.08667;1898
ALB;0.1444;0.08667;1899
ALB;0.14429;0.08669;1900
ALB;0.14367;0.08684;1901
ALB;0.1432;0.08681;1902
ALB;0.14236;0.08684;1903
ALB;0.14146;0.08691;1904
ALB;0.14052;0.08681;1905
ALB;0.13953;0.08652;1906
ALB;0.13869;0.08655;1907
ALB;0.13787;0.0868;1908
ALB;0.13694;0.08667;1909
ALB;0.13638;0.08698;1910
ALB;0.13626;0.08812;1911
ALB;0.13666;0.08933;1912
ALB;0.13717;0.08996;1913
ALB;0.13756;0.09043;1914
ALB;0.13809;0.09093;1915
ALB;0.13875;0.09115;1916
ALB;0.13951;0.091;1917
ALB;0.13944;0.09064;1918
ALB;0.13827;0.08935;1919
ALB;0.13705;0.08733;1920
ALB;0.13485;0.08471;1921
ALB;0.13213;0.08169;1922
ALB;0.12872;0.07876;1923
ALB;0.12545;0.07663;1924
ALB;0.12289;0.07607;1925
ALB;0.12022;0.07665;1926
ALB;0.11763;0.07873;1927
ALB;0.11545;0.081;1928
ALB;0.11341;0.08339;1929
ALB;0.11164;0.08552;1930
ALB;0.10888;0.0869;1931
ALB;0.10653;0.08759;1932
ALB;0.1044;0.0884;1933
ALB;0.10287;0.08907;1934
ALB;0.1012;0.08944;1935
ALB;0.09925;0.08954;1936
ALB;0.09731;0.08923;1937
ALB;0.09503;0.08846;1938
ALB;0.09224;0.08796;1939
ALB;0.08928;0.08784;1940
ALB;0.08569;0.08807;1941
ALB;0.08224;0.08929;1942
ALB;0.0791;0.09132;1943
ALB;0.07658;0.0931;1944
ALB;0.07447;0.09491;1945
ALB;0.07272;0.0969;1946
ALB;0.07063;0.09823;1947
ALB;0.06842;0.09948;1948
ALB;0.06654;0.09997;1949
ALB;0.06527;0.0997;1950
ALB;0.06456;0.09881;1951
ALB;0.06349;0.09706;1952
ALB;0.06268;0.09481;1953
ALB;0.0618;0.09276;1954
ALB;0.06136;0.09105;1955
ALB;0.06081;0.08892;1956
ALB;0.06062;0.08739;1957
ALB;0.0611;0.08609;1958
ALB;0.06172;0.08424;1959
ALB;0.06203;0.08244;1960
ALB;0.06222;0.08013;1961
ALB;0.06175;0.077;1962
ALB;0.05964;0.07228;1963
ALB;0.05635;0.06666;1964
ALB;0.05238;0.06113;1965
ALB;0.04844;0.05605;1966
ALB;0.04477;0.05145;1967
ALB;0.0412;0.04675;1968
ALB;0.03775;0.04277;1969
ALB;0.034;0.03897;1970
ALB;0.03046;0.0351;1971
ALB;0.02661;0.0309;1972
ALB;0.02322;0.02685;1973
ALB;0.01972;0.02229;1974
ALB;0.01624;0.01783;1975
ALB;0.01261;0.01297;1976
ALB;0.0086;0.00731;1977
ALB;0.00468;0.00174;1978
