Entity;Year;Change in female height (cm);Change in male height (cm);mean male height;mean female height;Change in male height(%);Change in female height (%);Calories from animal protein;Human Development Index (UNDP);Continent;Mortality
Afghanistan;1996;5.8875762;4.0917654;165.2558607;155.0753231;2.5388815;3.94642075;64.04;;Asia;14,56
Albania;1996;11.5737254;10.0637158;173.3888563;161.7698561;6.161767729;7.705741384;169.2;0.641;Europe;3,2600000000000002
Algeria;1996;7.2259589;9.683722;170.0718002;159.0896222;6.03768192;4.758188195;64.36;0.608;Africa;4,2025
American Samoa;1996;6.3239834;6.3294112;176.0451207;164.5213673;3.729419757;3.997527168;;;Oceania;
Andorra;1996;10.466057;12.67248;176.0601667;162.9048767;7.756080189;6.865742611;;;Europe;0,9400000000000001
Angola;1996;4.703628;5.1395795;167.3107273;157.3052103;3.169231747;3.082293073;40.52;;Africa;21,97
Antigua and Barbuda;1996;10.0465608;10.9950508;172.7069903;160.6526419;6.799158327;6.670753748;203.64;;North America;1,1959
Argentina;1996;8.5889525;12.2784569;174.6157252;159.1792058;7.563547809;5.703524838;257.2;0.738;South America;2,1931
Armenia;1996;8.4576857;10.1444336;171.9966462;158.0892096;6.267713884;5.652342153;68.48;0.612;Asia;3,7100000000000004
Australia;1996;10.366089;10.2573538;179.2046477;165.8581773;6.071333588;6.666634369;275.76;0.886;Oceania;0,68
Austria;1996;7.068036;9.3817916;177.4077047;164.6209454;5.583538531;4.486134865;261.84;0.82;Europe;0,63
Azerbaijan;1996;8.3191819;8.0795634;169.7494329;158.2524089;4.997569074;5.548591241;61.04;0.612;Asia;9,2018
Bahamas;1996;10.1188808;11.0186311;172.7466298;160.680362;6.813063408;6.720763318;183.8;;North America;1,1977
Bahrain;1996;7.0309285;11.0318365;167.7434113;156.6916935;7.039579887;4.697910304;;0.778;Asia;1,6600000000000001
Bangladesh;1996;9.3066267;5.2254168;163.8082283;150.7888441;3.295071358;6.577948007;23.04;0.433;Asia;10,840000000000002
Barbados;1996;13.217387;11.0649159;175.9161243;165.2770151;6.712062355;8.692239462;191.68;0.735;North America;1,4900000000000002
Belarus;1996;12.3789151;10.7062416;178.4384054;166.3465611;6.382938941;8.039945678;207.6;0.661;Europe;1,1955
Belgium;1996;10.069576;14.4983012;181.698803;165.4911355;8.671206751;6.478879785;252;0.857;Europe;0,71
Belize;1996;10.6951927;10.5999947;168.7317804;156.8758678;6.7032663;7.316420377;102.08;0.662;North America;2,7600000000000002
Benin;1996;2.9953795;4.5436044;167.0572709;156.1559783;2.795829113;1.955711536;30.52;0.377;Africa;15,200000000000001
Bermuda;1996;10.1689983;10.9392431;172.6878702;160.6876938;6.763113416;6.755970258;224.76;;North America;
Bhutan;1996;6.6591408;4.0395085;165.3058846;153.6294552;2.504867163;4.530942747;;;Asia;9,1956
Bolivia;1996;10.6935803;10.5285503;166.8462997;153.8883819;6.735351769;7.467855104;89.32;0.578;South America;9,370000000000001
Bosnia and Herzegovina;1996;12.0037311;12.4454513;180.8691741;165.8483102;7.389369557;7.80250508;82.96;;Europe;1,2022
Botswana;1996;5.3476914;5.4413515;171.6276505;161.3812749;3.274247957;3.427269489;106.72;0.571;Africa;6,690000000000001
Brazil;1996;10.6960196;10.3376444;173.5512114;160.8635453;6.333814394;7.122724804;155.56;0.656;South America;4,4799999999999995
Brunei;1996;8.2400987;9.2203452;165.0090651;153.9824862;5.918493461;5.653879315;205.48;0.807;Asia;1,2000000000000002
Bulgaria;1996;12.6054448;11.7822558;178.2402511;164.7953594;7.078215606;8.282707059;155.32;0.702;Europe;1,1992
Burkina Faso;1996;4.0170602;5.8347812;169.3288328;160.1857488;3.568803356;2.572257112;39.4;;Africa;19,25
Burundi;1996;2.8880307;5.0463075;166.6352493;154.0233342;3.122928737;1.910890859;;0.294;Africa;17,330000000000002
Cambodia;1996;6.6725239;8.4527714;163.3296025;152.9055366;5.457737829;4.562939501;89.12;0.391;Asia;11,1998
Cameroon;1996;5.018037;4.3164383;167.8231913;158.8158298;2.639914389;3.262749685;34.68;0.422;Africa;14,71
Canada;1996;6.2978256;7.3665897;178.0903724;163.9122753;4.314917104;3.995715883;43.12;0.863;North America;0,67
Cape Verde;1996;7.0087624;8.3647782;173.2239364;161.6495364;5.073893553;4.532286161;225.44;;Africa;5,1945
Central African Republic;1996;5.9361553;5.3099258;166.6738233;158.0375986;3.290652917;3.902760665;;0.3;Africa;17,380000000000003
Chad;1996;3.477457;5.5439129;170.4385774;160.170113;3.362093562;2.219285248;67.16;;Africa;19,680000000000003
Chile;1996;11.7695866;11.1171855;171.8112817;159.3636607;6.91822896;7.974294816;47.96;0.734;South America;1,2025
China;1996;9.5535825;10.8547559;171.8276872;159.7088938;6.743218138;6.362467246;152.52;0.559;Asia;4,1955
Colombia;1996;12.828979;12.1940505;169.4950788;156.8522111;7.752047543;8.907576099;92.88;0.634;South America;2,8600000000000003
Comoros;1996;5.0468677;6.4718285;166.1943222;155.5820799;4.051920522;3.35261606;118.56;;Africa;10,520000000000001
Congo;1996;5.0598393;5.563485;167.4476256;157.5742041;3.43670787;3.317614906;;0.504;Africa;10,1982
Cook Islands;1996;7.0389672;5.3143289;174.7678264;163.1852466;3.136157694;4.507931426;62.12;;Oceania;
Costa Rica;1996;13.6400007;11.2483982;168.9318804;156.3662442;7.133529805;9.556757304;;0.691;North America;1,1947
Cote d'Ivoire;1996;4.5481532;3.8958108;166.5328825;158.0654133;2.395401466;2.962633125;134.88;0.388;Africa;15,090000000000002
Croatia;1996;15.5501516;12.6538758;180.7818566;165.6314308;7.526335438;10.36115342;51.2;0.709;Europe;0,96
Cuba;1996;8.7361734;12.1179662;171.9961297;157.982959;7.579500499;5.85350858;110.04;0.665;North America;3,2022
Cyprus;1996;10.1978679;12.2600812;174.9948378;162.274366;7.533781631;6.705748769;85.64;0.789;Europe;0,8500000000000001
Czechia;1996;15.7027695;12.1038055;180.1037446;168.4577837;7.204648743;10.27970806;201.72;0.768;Europe;0,77
Democratic Republic of Congo;1996;4.2486772;4.9595221;166.7952777;155.249412;3.064540393;2.813679818;219.16;0.337;Africa;17,28
Denmark;1996;10.0921521;11.4194848;181.3850802;167.2137607;6.718703731;6.423147134;;0.837;Europe;0,6200000000000001
Djibouti;1996;4.323587;5.0661152;166.5732512;156.1137802;3.136774836;2.848396796;277.32;0.353;Africa;10,840000000000002
Dominica;1996;11.5317378;11.8479522;176.3131916;164.3433887;7.203924819;7.546373416;46.64;;North America;6,2022
Dominican Republic;1996;10.1029445;12.4843741;172.7469432;159.027605;7.789950061;6.783929852;199.2;0.635;North America;4,1968
East Asia and Pacific;1996;7.8996;7.7994;169.2129;157.6193;4.831937849;5.27625957;90.8;;Europe;
Ecuador;1996;11.232168;11.4479357;167.076619;154.2335466;7.355929162;7.854587214;;0.664;South America;3,7600000000000002
Egypt;1996;8.6113264;8.0483715;166.6840579;157.326818;5.073493665;5.790470318;112.04;0.584;Africa;4,2022
El Salvador;1996;13.3389;11.2975004;169.7711093;154.5488364;7.128947513;9.446148295;61.08;0.585;North America;4,2018
Equatorial Guinea;1996;4.7159702;5.2407655;167.3621474;157.3263437;3.232618325;3.090202908;65.32;;Africa;16,95
Eritrea;1996;4.2757429;4.5620792;168.3564492;156.386645;2.785247869;2.810937836;;;Africa;10,1972
Estonia;1996;12.1996464;10.7185428;181.5934781;168.6727153;6.272741395;7.796642889;;0.738;Europe;1,1947
Eswatini;1996;5.7772721;4.9113844;168.1315991;158.635578;3.009054;3.779495047;209.72;0.513;Africa;8,959999999999999
Ethiopia;1996;3.5385657;4.953314;166.2315083;155.7102338;3.071285626;2.325377479;58.56;;Africa;16,44
Europe and Central Asia;1996;10.9153;11.4932;177.2165;164.1035;6.935174475;7.125418276;21;;;
Fiji;1996;8.2191881;5.2993532;173.9016453;161.6929253;3.143108634;5.355436213;;0.676;Oceania;2,1942
Finland;1996;11.9690765;11.8464644;179.5909033;165.8977048;7.062209917;7.77573128;110.16;0.823;Europe;0,49000000000000005
France;1996;9.5396559;13.3255902;179.7379129;164.8815932;8.007574189;6.141069222;257.2;0.83;Europe;0,61
French Polynesia;1996;8.2179425;7.37426;177.4094044;164.5160304;4.336903424;5.257865026;305.6;;Oceania;
