Code;Year;Human Development Index (UNDP)
AFG;1996;
ALB;1996;0.641
DZA;1996;0.608
ASM;1996;
AND;1996;
AGO;1996;
ATG;1996;
ARG;1996;0.738
ARM;1996;0.612
AUS;1996;0.886
AUT;1996;0.82
AZE;1996;0.612
BHS;1996;
BHR;1996;0.778
BGD;1996;0.433
BRB;1996;0.735
BLR;1996;0.661
BEL;1996;0.857
BLZ;1996;0.662
BEN;1996;0.377
BMU;1996;
BTN;1996;
BOL;1996;0.578
BIH;1996;
BWA;1996;0.571
BRA;1996;0.656
BRN;1996;0.807
BGR;1996;0.702
BFA;1996;
BDI;1996;0.294
KHM;1996;0.391
CMR;1996;0.422
CAN;1996;0.863
CPV;1996;
CAF;1996;0.3
TCD;1996;
CHL;1996;0.734
CHN;1996;0.559
COL;1996;0.634
COM;1996;
COG;1996;0.504
COK;1996;
CRI;1996;0.691
CIV;1996;0.388
HRV;1996;0.709
CUB;1996;0.665
CYP;1996;0.789
CZE;1996;0.768
COD;1996;0.337
DNK;1996;0.837
DJI;1996;0.353
DMA;1996;
DOM;1996;0.635
;1996;
ECU;1996;0.664
EGY;1996;0.584
SLV;1996;0.585
GNQ;1996;
ERI;1996;
EST;1996;0.738
SWZ;1996;0.513
ETH;1996;
;1996;
FJI;1996;0.676
FIN;1996;0.823
FRA;1996;0.83
PYF;1996;
GAB;1996;0.634
GMB;1996;0.36
GEO;1996;
DEU;1996;0.839
GHA;1996;0.474
GRC;1996;0.772
GRL;1996;
GRD;1996;
GTM;1996;0.515
GIN;1996;0.299
GNB;1996;
GUY;1996;0.589
HTI;1996;0.427
HND;1996;0.534
HKG;1996;0.811
HUN;1996;0.746
ISL;1996;0.831
IND;1996;0.467
IDN;1996;0.577
IRN;1996;0.647
IRQ;1996;0.573
IRL;1996;0.801
ISR;1996;0.828
ITA;1996;0.806
JAM;1996;0.66
JPN;1996;0.845
JOR;1996;0.686
KAZ;1996;0.666
KEN;1996;0.455
KIR;1996;
;1996;0.789
KWT;1996;0.772
KGZ;1996;0.568
LAO;1996;0.441
;1996;
LVA;1996;0.68
LBN;1996;
LSO;1996;0.487
LBR;1996;
LBY;1996;0.709
LTU;1996;0.712
LUX;1996;0.817
MDG;1996;
MWI;1996;0.385
MYS;1996;0.695
MDV;1996;0.553
MLI;1996;0.271
MLT;1996;0.763
MHL;1996;
MRT;1996;0.428
MUS;1996;0.652
MEX;1996;0.677
FSM;1996;
;1996;
MDA;1996;0.591
MNG;1996;0.561
MNE;1996;
MAR;1996;0.499
MOZ;1996;0.253
MMR;1996;0.404
NAM;1996;0.581
NRU;1996;
NPL;1996;0.42
NLD;1996;0.866
NZL;1996;0.854
NIC;1996;0.534
NER;1996;0.235
NGA;1996;
NIU;1996;
;1996;
PRK;1996;
MKD;1996;
NOR;1996;0.888
OMN;1996;
PAK;1996;0.433
PLW;1996;
PSE;1996;
PAN;1996;0.694
PNG;1996;0.432
PRY;1996;0.613
PER;1996;0.648
PHL;1996;0.606
POL;1996;0.748
PRT;1996;0.767
PRI;1996;
QAT;1996;0.796
ROU;1996;0.695
RUS;1996;0.701
RWA;1996;0.262
KNA;1996;
LCA;1996;
VCT;1996;
WSM;1996;0.628
STP;1996;0.474
SAU;1996;0.727
SEN;1996;0.369
SRB;1996;0.699
SYC;1996;
SLE;1996;0.269
SGP;1996;0.782
SVK;1996;0.754
SVN;1996;0.788
SLB;1996;
SOM;1996;
ZAF;1996;0.647
;1996;
KOR;1996;0.789
ESP;1996;0.806
LKA;1996;0.655
;1996;
SDN;1996;0.375
SUR;1996;
SWE;1996;0.863
CHE;1996;0.854
SYR;1996;0.583
TWN;1996;
TJK;1996;0.534
TZA;1996;0.372
THA;1996;0.619
TLS;1996;
TGO;1996;0.417
TKL;1996;
TON;1996;0.671
TTO;1996;0.69
TUN;1996;0.616
TUR;1996;0.615
TKM;1996;
TUV;1996;
UGA;1996;0.338
UKR;1996;0.661
ARE;1996;0.771
GBR;1996;0.844
USA;1996;0.879
URY;1996;0.717
UZB;1996;
VUT;1996;
VEN;1996;0.66
VNM;1996;0.54
OWID_WRL;1996;
YEM;1996;0.422
ZMB;1996;0.416
ZWE;1996;0.466
OWID_ABK;2015;
AFG;1980;0.228
AFG;1985;0.273
AFG;2002;0.373
AFG;2003;0.383
AFG;2004;0.398
AFG;2005;0.408
AFG;2006;0.417
AFG;2007;0.429
AFG;2008;0.437
AFG;2009;0.453
AFG;2010;0.463
AFG;2011;0.471
AFG;2012;0.482
AFG;2013;0.487
AFG;2014;0.491
AFG;2015;0.493
AFG;2016;0.494
AFG;2017;0.498
AFG;1896;
AFG;1897;
AFG;1898;
AFG;1899;
AFG;1900;
AFG;1901;
AFG;1902;
AFG;1903;
AFG;1904;
AFG;1905;
AFG;1906;
AFG;1907;
AFG;1908;
AFG;1909;
AFG;1910;
AFG;1911;
AFG;1912;
AFG;1913;
AFG;1914;
AFG;1915;
AFG;1916;
AFG;1917;
AFG;1918;
AFG;1919;
AFG;1920;
AFG;1921;
AFG;1922;
AFG;1923;
AFG;1924;
AFG;1925;
AFG;1926;
AFG;1927;
AFG;1928;
AFG;1929;
AFG;1930;
AFG;1931;
AFG;1932;
AFG;1933;
AFG;1934;
AFG;1935;
AFG;1936;
AFG;1937;
AFG;1938;
AFG;1939;
AFG;1940;
AFG;1941;
AFG;1942;
AFG;1943;
AFG;1944;
AFG;1945;
AFG;1946;
AFG;1947;
AFG;1948;
AFG;1949;
AFG;1950;
AFG;1951;
AFG;1952;
AFG;1953;
AFG;1954;
AFG;1955;
AFG;1956;
AFG;1957;
AFG;1958;
AFG;1959;
AFG;1960;
AFG;1961;
AFG;1962;
AFG;1963;
AFG;1964;
AFG;1965;
AFG;1966;
AFG;1967;
AFG;1968;
AFG;1969;
AFG;1970;
AFG;1971;
AFG;1972;
AFG;1973;
AFG;1974;
AFG;1975;
AFG;1976;
AFG;1977;
AFG;1978;
AFG;1979;
AFG;1981;
AFG;1982;
AFG;1983;
AFG;1984;
AFG;1986;
AFG;1987;
AFG;1988;
AFG;1989;
AFG;1990;
AFG;1991;
AFG;1992;
AFG;1993;
AFG;1994;
AFG;1995;
OWID_AKD;2015;
ALB;1980;0.625
ALB;1985;0.623
ALB;1990;0.645
ALB;1991;0.626
ALB;1992;0.61
ALB;1993;0.613
ALB;1994;0.619
ALB;1995;0.632
ALB;1997;0.641
ALB;1998;0.652
ALB;1999;0.662
ALB;2000;0.669
ALB;2001;0.676
ALB;2002;0.682
ALB;2003;0.689
ALB;2004;0.694
ALB;2005;0.704
ALB;2006;0.711
ALB;2007;0.72
ALB;2008;0.724
ALB;2009;0.729
ALB;2010;0.741
ALB;2011;0.752
ALB;2012;0.767
ALB;2013;0.771
ALB;2014;0.773
ALB;2015;0.776
ALB;2016;0.782
ALB;2017;0.785
ALB;1896;
ALB;1897;
ALB;1898;
ALB;1899;
ALB;1900;
ALB;1901;
ALB;1902;
ALB;1903;
ALB;1904;
ALB;1905;
ALB;1906;
ALB;1907;
ALB;1908;
ALB;1909;
ALB;1910;
ALB;1911;
ALB;1912;
ALB;1913;
ALB;1914;
ALB;1915;
ALB;1916;
ALB;1917;
ALB;1918;
ALB;1919;
ALB;1920;
ALB;1921;
ALB;1922;
ALB;1923;
ALB;1924;
ALB;1925;
ALB;1926;
ALB;1927;
ALB;1928;
ALB;1929;
ALB;1930;
ALB;1931;
ALB;1932;
ALB;1933;
ALB;1934;
ALB;1935;
ALB;1936;
ALB;1937;
ALB;1938;
ALB;1939;
ALB;1940;
ALB;1941;
ALB;1942;
ALB;1943;
ALB;1944;
ALB;1945;
ALB;1946;
ALB;1947;
ALB;1948;
ALB;1949;
ALB;1950;
ALB;1951;
ALB;1952;
ALB;1953;
ALB;1954;
ALB;1955;
ALB;1956;
ALB;1957;
ALB;1958;
ALB;1959;
ALB;1960;
ALB;1961;
ALB;1962;
ALB;1963;
ALB;1964;
ALB;1965;
ALB;1966;
ALB;1967;
ALB;1968;
ALB;1969;
ALB;1970;
ALB;1971;
ALB;1972;
ALB;1973;
ALB;1974;
ALB;1975;
ALB;1976;
ALB;1977;
ALB;1978;
ALB;1979;
ALB;1981;
ALB;1982;
ALB;1983;
ALB;1984;
ALB;1986;
ALB;1987;
ALB;1988;
ALB;1989;
DZA;1990;0.577
DZA;1991;0.581
DZA;1992;0.587
DZA;1993;0.591
DZA;1994;0.595
DZA;1995;0.6
DZA;1997;0.617
DZA;1998;0.627
DZA;1999;0.636
DZA;2000;0.644
DZA;2001;0.653
DZA;2002;0.664
DZA;2003;0.674
DZA;2004;0.684
DZA;2005;0.692
DZA;2006;0.698
DZA;2007;0.707
DZA;2008;0.709
DZA;2009;0.719
DZA;2010;0.729
DZA;2011;0.736
DZA;2012;0.74
DZA;2013;0.745
DZA;2014;0.747
DZA;2015;0.749
DZA;2016;0.753
DZA;2017;0.754
DZA;1896;
DZA;1897;
DZA;1898;
DZA;1899;
DZA;1900;
DZA;1901;
DZA;1902;
DZA;1903;
DZA;1904;
DZA;1905;
DZA;1906;
DZA;1907;
DZA;1908;
DZA;1909;
DZA;1910;
DZA;1911;
DZA;1912;
DZA;1913;
DZA;1914;
DZA;1915;
DZA;1916;
DZA;1917;
DZA;1918;
DZA;1919;
DZA;1920;
DZA;1921;
DZA;1922;
DZA;1923;
DZA;1924;
DZA;1925;
DZA;1926;
DZA;1927;
DZA;1928;
DZA;1929;
DZA;1930;
DZA;1931;
DZA;1932;
DZA;1933;
DZA;1934;
DZA;1935;
DZA;1936;
DZA;1937;
DZA;1938;
DZA;1939;
DZA;1940;
DZA;1941;
DZA;1942;
DZA;1943;
DZA;1944;
DZA;1945;
DZA;1946;
DZA;1947;
DZA;1948;
DZA;1949;
DZA;1950;
DZA;1951;
DZA;1952;
