Code;Year;Mortality rate;Mean male height (cm)
OWID_ABK;2015;;
AFG;1962;34.46;164.8498304
AFG;1963;33.87;164.8991445
AFG;1964;33.31;164.9436129
AFG;1965;32.76;164.9831305
AFG;1966;32.2;165.0189045
AFG;1967;31.68;165.051753
AFG;1968;31.14;165.0826591
AFG;1969;30.58;165.1135003
AFG;1970;30.03;165.1439626
AFG;1971;29.48;165.1741494
AFG;1972;28.93;165.2040674
AFG;1973;28.36;165.2338289
AFG;1974;27.78;165.2631103
AFG;1975;27.2;165.2911729
AFG;1976;26.62;165.3169361
AFG;1977;26.01;165.3389782
AFG;1978;25.4;165.3567716
AFG;1979;24.78;165.3707432
AFG;1980;24.15;165.3812914
AFG;1981;23.51;165.3896357
AFG;1982;22.86;165.3959387
AFG;1983;22.22;165.3993526
AFG;1984;21.58;165.3999634
AFG;1985;20.93;165.3971222
AFG;1986;20.29;165.3909148
AFG;1987;19.64;165.3812397
AFG;1988;19.01;165.3687054
AFG;1989;18.38;165.3550563
AFG;1990;17.77;165.340645
AFG;1991;17.17;165.3261648
AFG;1992;16.59;165.3120761
AFG;1993;16.04;165.2981032
AFG;1994;15.52;165.2841484
AFG;1995;15.03;165.2701323
AFG;1996;14.56;165.2558607
AFG;1997;14.12;
AFG;1998;13.69;
AFG;1999;13.28;
AFG;2000;12.87;
AFG;2001;12.46;
AFG;2002;12.04;
AFG;2003;11.63;
AFG;2004;11.21;
AFG;2005;10.79;
AFG;2006;10.37;
AFG;2007;9.95;
AFG;2008;9.54;
AFG;2009;9.14;
AFG;2010;8.76;
AFG;2011;8.39;
AFG;2012;8.03;
AFG;2013;7.68;
AFG;2014;7.36;
AFG;2015;7.04;
AFG;2016;6.76;
AFG;2017;6.49;
AFG;2018;6.25;
AFG;2019;6.03;
AFG;1896;;161.1640953
AFG;1897;;161.196286
AFG;1898;;161.2282966
AFG;1899;;161.2607274
AFG;1900;;161.2930682
AFG;1901;;161.325492
AFG;1902;;161.3583553
AFG;1903;;161.3912147
AFG;1904;;161.4239893
AFG;1905;;161.4567642
AFG;1906;;161.4894043
AFG;1907;;161.5229355
AFG;1908;;161.5572929
AFG;1909;;161.5924115
AFG;1910;;161.6288848
AFG;1911;;161.6678293
AFG;1912;;161.7097565
AFG;1913;;161.7544944
AFG;1914;;161.8015948
AFG;1915;;161.8512242
AFG;1916;;161.9029869
